# histogram-lockdown-mutation-results-v1
# provisional-sha	4576fa8aea3a0d713d66b403aaad381331fc1c83
# disposable-worktree	/tmp/tidb-task325-histogram-mutation.gZ0zyz/repo
# exclusive-target	/tmp/tidb-task325-histogram-mutation.gZ0zyz/target
mutation_id	provisional_sha	test_identity	command	exit_code	decisive_failure	result	restoration	clean_status
M12	4576fa8aea3a0d713d66b403aaad381331fc1c83	histogram_source::source_standardize_v2_index_matches_all_go_tables	CARGO_TARGET_DIR=/tmp/tidb-task325-histogram-mutation.gZ0zyz/target cargo test --offline --locked -p tidb-stats histogram_source::source_standardize_v2_index_matches_all_go_tables -- --exact	101	assertion left == right failed; retained buckets 2; expected 3	KILLED	RESTORED	CLEAN
M13	4576fa8aea3a0d713d66b403aaad381331fc1c83	row_estimate_source::source_arithmetic_methods_update_all_fields_in_place	CARGO_TARGET_DIR=/tmp/tidb-task325-histogram-mutation.gZ0zyz/target cargo test --offline --locked -p tidb-stats row_estimate_source::source_arithmetic_methods_update_all_fields_in_place -- --exact	101	RowEstimate max_est 15; expected 25	KILLED	RESTORED	CLEAN
M14	4576fa8aea3a0d713d66b403aaad381331fc1c83	status_source::source_full_load_status_is_initialized_without_reload	CARGO_TARGET_DIR=/tmp/tidb-task325-histogram-mutation.gZ0zyz/target cargo test --offline --locked -p tidb-stats status_source::source_full_load_status_is_initialized_without_reload -- --exact	101	assertion failed: !status.is_load_needed()	KILLED	RESTORED	CLEAN
M15	4576fa8aea3a0d713d66b403aaad381331fc1c83	stats_version_source::source_version_constants_and_analyzed_predicate_match	CARGO_TARGET_DIR=/tmp/tidb-task325-histogram-mutation.gZ0zyz/target cargo test --offline --locked -p tidb-stats stats_version_source::source_version_constants_and_analyzed_predicate_match -- --exact	101	assertion failed: !is_analyzed(VERSION_0)	KILLED	RESTORED	CLEAN
M16	4576fa8aea3a0d713d66b403aaad381331fc1c83	overlap_geometry_source::source_left_overlap_clips_to_histogram_triangle	CARGO_TARGET_DIR=/tmp/tidb-task325-histogram-mutation.gZ0zyz/target cargo test --offline --locked -p tidb-stats overlap_geometry_source::source_left_overlap_clips_to_histogram_triangle -- --exact	101	assertion left == right failed; actual overlap 0.4; expected 0.32	KILLED	RESTORED	CLEAN
M17	4576fa8aea3a0d713d66b403aaad381331fc1c83	average_count_source::source_average_scales_nonnull_count_and_ndv_together	CARGO_TARGET_DIR=/tmp/tidb-task325-histogram-mutation.gZ0zyz/target cargo test --offline --locked -p tidb-stats average_count_source::source_average_scales_nonnull_count_and_ndv_together -- --exact	101	assertion left == right failed; actual average 2025; expected 9	KILLED	RESTORED	CLEAN
M18	4576fa8aea3a0d713d66b403aaad381331fc1c83	histogram_source::lockdown_declined_histogram_evidence_is_source_backed	CARGO_TARGET_DIR=/tmp/tidb-task325-histogram-mutation.gZ0zyz/target cargo test --offline --locked -p tidb-stats histogram_source::lockdown_declined_histogram_evidence_is_source_backed -- --exact	101	assertion failed: E_UNKNOWN_DECLINE is absent from the source-backed evidence registry	KILLED	RESTORED	CLEAN
M19	4576fa8aea3a0d713d66b403aaad381331fc1c83	histogram_source::lockdown_unreachable_histogram_obligation_has_measured_proof	CARGO_TARGET_DIR=/tmp/tidb-task325-histogram-mutation.gZ0zyz/target cargo test --offline --locked -p tidb-stats histogram_source::lockdown_unreachable_histogram_obligation_has_measured_proof -- --exact	101	unreachable proof unsupported_unmeasured_claim; expected measured_go_oracle_topn_bucket_ndv=0_after_enable	KILLED	RESTORED	CLEAN
M20	4576fa8aea3a0d713d66b403aaad381331fc1c83	histogram_source::lockdown_histogram_sources_match_pinned_sha256	CARGO_TARGET_DIR=/tmp/tidb-task325-histogram-mutation.gZ0zyz/target cargo test --offline --locked -p tidb-stats histogram_source::lockdown_histogram_sources_match_pinned_sha256 -- --exact	101	SHA drift: rust/crates/tidb-stats/src/histogram.rs; actual 4c65c8723d62dbbf155365d3f6bf37272f626eba01deb170f2f82439c7c8a1e7; expected f01d5fe10a8bae9531c6588c84f31fdfa14c9c1c0dd386c5a2c1145c35cbfb95	KILLED	RESTORED	CLEAN
M21	4576fa8aea3a0d713d66b403aaad381331fc1c83	histogram_source::lockdown_public_and_test_histogram_symbols_compile	CARGO_TARGET_DIR=/tmp/tidb-task325-histogram-mutation.gZ0zyz/target cargo test --offline --locked -p tidb-stats histogram_source::lockdown_public_and_test_histogram_symbols_compile -- --exact	101	error[E0599]: no method or associated item named upper_to_datum found for Histogram	KILLED	RESTORED	CLEAN
