# Campaign 27 moves the parser entry point from broad parser-manifest ownership to one exact prepared-marker owner.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
parser-workstream	parser-prepared-param-marker-runtime	pkg/parser/parser.go	-	-	-	-	rust/difftests/corpus/coverage/evidence/source/parser-prepared-param-marker-runtime.tsv,rust/crates/tidb-planner/tests/prepared_param_marker_source.rs	Transfer remains PARTIAL: the successor owns typed statement-local marker numbering and one configured signed-BIGINT primary-key binding path; the broad parser entry point, SQL PREPARE/EXECUTE runtime, arbitrary parameters, and all other parser behavior remain open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	-	pkg/server/conn_test.go	1927	TestAuthPlugin2	rust/difftests/corpus/coverage/evidence/tests/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/tests/prepared_point_read_tcp_source.rs	Transfer remains PARTIAL: the prepared source guard proves the bounded authenticated registry, typed real session route, binary rows, and silent close; each original test remainder stated by successor evidence remains open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	-	pkg/server/conn_test.go	2054	TestMaxAllowedPacket	rust/difftests/corpus/coverage/evidence/tests/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/tests/prepared_point_read_tcp_source.rs	Transfer remains PARTIAL: the prepared source guard proves the bounded authenticated registry, typed real session route, binary rows, and silent close; each original test remainder stated by successor evidence remains open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	-	pkg/server/conn_test.go	2145	TestOkEof	rust/difftests/corpus/coverage/evidence/tests/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/tests/prepared_point_read_tcp_source.rs	Transfer remains PARTIAL: the prepared source guard proves the bounded authenticated registry, typed real session route, binary rows, and silent close; each original test remainder stated by successor evidence remains open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	-	pkg/server/conn_test.go	2358	TestProcessInfoForExecuteCommand	rust/difftests/corpus/coverage/evidence/tests/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/tests/prepared_point_read_tcp_source.rs	Transfer remains PARTIAL: the prepared source guard proves the bounded authenticated registry, typed real session route, binary rows, and silent close; each original test remainder stated by successor evidence remains open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	-	pkg/server/conn_test.go	2479	TestCloseConn	rust/difftests/corpus/coverage/evidence/tests/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/tests/prepared_point_read_tcp_source.rs	Transfer remains PARTIAL: the prepared source guard proves the bounded authenticated registry, typed real session route, binary rows, and silent close; each original test remainder stated by successor evidence remains open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	-	pkg/server/conn_test.go	2518	TestConnAddMetrics	rust/difftests/corpus/coverage/evidence/tests/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/tests/prepared_point_read_tcp_source.rs	Transfer remains PARTIAL: the prepared source guard proves the bounded authenticated registry, typed real session route, binary rows, and silent close; each original test remainder stated by successor evidence remains open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	-	pkg/server/server_test.go	116	TestGetConAttrs	rust/difftests/corpus/coverage/evidence/tests/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/tests/prepared_point_read_tcp_source.rs	Transfer remains PARTIAL: the prepared source guard proves the bounded authenticated registry, typed real session route, binary rows, and silent close; each original test remainder stated by successor evidence remains open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	-	pkg/server/server_test.go	192	TestSeverHealth	rust/difftests/corpus/coverage/evidence/tests/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/tests/prepared_point_read_tcp_source.rs	Transfer remains PARTIAL: the prepared source guard proves the bounded authenticated registry, typed real session route, binary rows, and silent close; each original test remainder stated by successor evidence remains open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	-	pkg/server/server_test.go	214	TestInitTiDBListenerIsIdempotent	rust/difftests/corpus/coverage/evidence/tests/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/tests/prepared_point_read_tcp_source.rs	Transfer remains PARTIAL: the prepared source guard proves the bounded authenticated registry, typed real session route, binary rows, and silent close; each original test remainder stated by successor evidence remains open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	-	pkg/server/server_test.go	238	TestServerShutdownFlags	rust/difftests/corpus/coverage/evidence/tests/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/tests/prepared_point_read_tcp_source.rs	Transfer remains PARTIAL: the prepared source guard proves the bounded authenticated registry, typed real session route, binary rows, and silent close; each original test remainder stated by successor evidence remains open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	-	pkg/server/server_test.go	276	TestStartShutdownMarksUnhealthyBeforeStarterCallback	rust/difftests/corpus/coverage/evidence/tests/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/tests/prepared_point_read_tcp_source.rs	Transfer remains PARTIAL: the prepared source guard proves the bounded authenticated registry, typed real session route, binary rows, and silent close; each original test remainder stated by successor evidence remains open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	-	pkg/server/tests/commontest/tidb_test.go	1098	TestGracefulShutdown	rust/difftests/corpus/coverage/evidence/tests/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/tests/prepared_point_read_tcp_source.rs	Transfer remains PARTIAL: the prepared source guard proves the bounded authenticated registry, typed real session route, binary rows, and silent close; each original test remainder stated by successor evidence remains open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	-	pkg/server/tests/commontest/tidb_test.go	3206	TestConnectionWillNotLeak	rust/difftests/corpus/coverage/evidence/tests/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/tests/prepared_point_read_tcp_source.rs	Transfer remains PARTIAL: the prepared source guard proves the bounded authenticated registry, typed real session route, binary rows, and silent close; each original test remainder stated by successor evidence remains open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	-	pkg/server/tests/commontest/tidb_test.go	3295	TestConnectionCount	rust/difftests/corpus/coverage/evidence/tests/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/tests/prepared_point_read_tcp_source.rs	Transfer remains PARTIAL: the prepared source guard proves the bounded authenticated registry, typed real session route, binary rows, and silent close; each original test remainder stated by successor evidence remains open.
server-configured-ordered-query-routing-runtime	server-prepared-point-read-tcp-runtime	-	pkg/server/user_connections_test.go	32	TestUserConnectionCount	rust/difftests/corpus/coverage/evidence/tests/server-configured-ordered-query-routing-runtime.tsv	rust/difftests/corpus/coverage/evidence/tests/server-prepared-point-read-tcp-runtime.tsv,rust/crates/tidb-server/tests/prepared_point_read_tcp_source.rs	Transfer remains PARTIAL: the prepared source guard proves the bounded authenticated registry, typed real session route, binary rows, and silent close; each original test remainder stated by successor evidence remains open.
server-live-ordered-join-proof	server-live-prepared-point-read-proof	cmd/tidb-server/main.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/server-live-ordered-join-proof.tsv	rust/difftests/corpus/coverage/evidence/source/server-live-prepared-point-read-proof.tsv,rust/scripts/run-campaign27-prepared-point-read-sql-node.sh	Transfer remains PARTIAL: the successor proves raw and actual sysbench prepared traffic through the same real executable lifecycle; full TiDB startup and services remain open.
server-live-ordered-join-proof	server-live-prepared-point-read-proof	pkg/server/internal/handshake/handshake.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/server-live-ordered-join-proof.tsv	rust/difftests/corpus/coverage/evidence/source/server-live-prepared-point-read-proof.tsv,rust/scripts/mysql-prepared-client.py	Transfer remains PARTIAL: native-password authentication now precedes real prepared traffic; TLS and broader handshake parity remain open.
server-live-ordered-join-proof	server-live-prepared-point-read-proof	tests/realtikvtest/testkit.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/server-live-ordered-join-proof.tsv	rust/difftests/corpus/coverage/evidence/source/server-live-prepared-point-read-proof.tsv,rust/scripts/run-campaign27-prepared-point-read-sql-node.sh	Transfer remains PARTIAL: the shared tag-owned topology lifecycle now proves prepared point reads and cleanup; the broader RealTiKV testkit remains open.
server-live-ordered-join-proof	server-live-prepared-point-read-proof	-	cmd/tidb-server/main_test.go	0	main_test.go	rust/difftests/corpus/coverage/evidence/tests/server-live-ordered-join-proof.tsv	rust/difftests/corpus/coverage/evidence/tests/server-live-prepared-point-read-proof.tsv,rust/scripts/run-campaign27-prepared-point-read-sql-node.sh	Transfer remains PARTIAL: the bounded executable lifecycle now includes raw and actual sysbench prepared traffic; the full main-package test surface remains open.
server-live-ordered-join-proof	server-live-prepared-point-read-proof	-	cmd/tidb-server/main_test.go	36	TestMain	rust/difftests/corpus/coverage/evidence/tests/server-live-ordered-join-proof.tsv	rust/difftests/corpus/coverage/evidence/tests/server-live-prepared-point-read-proof.tsv,rust/scripts/run-campaign27-prepared-point-read-sql-node.sh	Transfer remains PARTIAL: one real prepared-read executable path is proved; full Go initialization remains open.
server-live-ordered-join-proof	server-live-prepared-point-read-proof	-	cmd/tidb-server/main_test.go	50	TestRunMain	rust/difftests/corpus/coverage/evidence/tests/server-live-ordered-join-proof.tsv	rust/difftests/corpus/coverage/evidence/tests/server-live-prepared-point-read-proof.tsv,rust/scripts/run-campaign27-prepared-point-read-sql-node.sh	Transfer remains PARTIAL: the prepared proof retains readiness and teardown; full command-line behavior remains open.
server-live-ordered-join-proof	server-live-prepared-point-read-proof	-	cmd/tidb-server/main_test.go	56	TestExitCodeForSignal	rust/difftests/corpus/coverage/evidence/tests/server-live-ordered-join-proof.tsv	rust/difftests/corpus/coverage/evidence/tests/server-live-prepared-point-read-proof.tsv,rust/scripts/run-campaign27-prepared-point-read-sql-node.sh	Transfer remains PARTIAL: bounded shutdown after prepared execution is proved; exact signal and exit-code cases remain open.
server-live-ordered-join-proof	server-live-prepared-point-read-proof	-	cmd/tidb-server/main_test.go	70	TestExitCodeForSignal/<generated>	rust/difftests/corpus/coverage/evidence/tests/server-live-ordered-join-proof.tsv	rust/difftests/corpus/coverage/evidence/tests/server-live-prepared-point-read-proof.tsv,rust/scripts/run-campaign27-prepared-point-read-sql-node.sh	Transfer remains PARTIAL: the generated signal anchor remains attached to bounded prepared shutdown; its full matrix remains open.
server-live-ordered-join-proof	server-live-prepared-point-read-proof	-	cmd/tidb-server/main_test.go	76	TestOverrideConfigKeyspaceActivateMode	rust/difftests/corpus/coverage/evidence/tests/server-live-ordered-join-proof.tsv	rust/difftests/corpus/coverage/evidence/tests/server-live-prepared-point-read-proof.tsv,rust/scripts/run-campaign27-prepared-point-read-sql-node.sh	Transfer remains PARTIAL: one explicit real-TiKV configuration is proved; keyspace override parity remains open.
server-live-ordered-join-proof	server-live-prepared-point-read-proof	-	cmd/tidb-server/main_test.go	97	TestSetGlobalVars	rust/difftests/corpus/coverage/evidence/tests/server-live-ordered-join-proof.tsv	rust/difftests/corpus/coverage/evidence/tests/server-live-prepared-point-read-proof.tsv,rust/scripts/run-campaign27-prepared-point-read-sql-node.sh	Transfer remains PARTIAL: one static prepared-read configuration is proved; global-variable behavior remains open.
server-live-ordered-join-proof	server-live-prepared-point-read-proof	-	cmd/tidb-server/main_test.go	139	TestInitDeployMode	rust/difftests/corpus/coverage/evidence/tests/server-live-ordered-join-proof.tsv	rust/difftests/corpus/coverage/evidence/tests/server-live-prepared-point-read-proof.tsv,rust/scripts/run-campaign27-prepared-point-read-sql-node.sh	Transfer remains PARTIAL: one local prepared-read deployment is proved; complete deploy-mode behavior remains open.
server-live-ordered-join-proof	server-live-prepared-point-read-proof	-	cmd/tidb-server/main_test.go	185	TestCreateMgrClientRequiresPodIdentityInStarter	rust/difftests/corpus/coverage/evidence/tests/server-live-ordered-join-proof.tsv	rust/difftests/corpus/coverage/evidence/tests/server-live-prepared-point-read-proof.tsv,rust/scripts/run-campaign27-prepared-point-read-sql-node.sh	Transfer remains PARTIAL: bounded executable lifecycle only; manager-client and starter identity remain open.
server-live-ordered-join-proof	server-live-prepared-point-read-proof	-	cmd/tidb-server/main_test.go	235	TestSetVersionByConfigInNextGen	rust/difftests/corpus/coverage/evidence/tests/server-live-ordered-join-proof.tsv	rust/difftests/corpus/coverage/evidence/tests/server-live-prepared-point-read-proof.tsv,rust/scripts/run-campaign27-prepared-point-read-sql-node.sh	Transfer remains PARTIAL: next-generation version configuration remains open.
server-live-ordered-join-proof	server-live-prepared-point-read-proof	-	cmd/tidb-server/main_test.go	253	TestSetVersionByConfigInvalidNextGenReleaseVersion	rust/difftests/corpus/coverage/evidence/tests/server-live-ordered-join-proof.tsv	rust/difftests/corpus/coverage/evidence/tests/server-live-prepared-point-read-proof.tsv,rust/scripts/run-campaign27-prepared-point-read-sql-node.sh	Transfer remains PARTIAL: invalid next-generation version behavior remains open.
server-live-ordered-join-proof	server-live-prepared-point-read-proof	-	cmd/tidb-server/main_test.go	267	TestSetVersionByConfigNormalizeLegacyPlaceholderForNextGen	rust/difftests/corpus/coverage/evidence/tests/server-live-ordered-join-proof.tsv	rust/difftests/corpus/coverage/evidence/tests/server-live-prepared-point-read-proof.tsv,rust/scripts/run-campaign27-prepared-point-read-sql-node.sh	Transfer remains PARTIAL: legacy next-generation version normalization remains open.
server-live-ordered-join-proof	server-live-prepared-point-read-proof	-	cmd/tidb-server/main_test.go	277	TestSetupKeyspaceObservabilityForStarter	rust/difftests/corpus/coverage/evidence/tests/server-live-ordered-join-proof.tsv	rust/difftests/corpus/coverage/evidence/tests/server-live-prepared-point-read-proof.tsv,rust/scripts/run-campaign27-prepared-point-read-sql-node.sh	Transfer remains PARTIAL: one real-TiKV prepared node is observed; full starter keyspace observability remains open.
server-live-ordered-join-proof	server-live-prepared-point-read-proof	-	cmd/tidb-server/main_test.go	323	TestSetupKeyspaceObservabilityForStarterSkipsNonTiKV	rust/difftests/corpus/coverage/evidence/tests/server-live-ordered-join-proof.tsv	rust/difftests/corpus/coverage/evidence/tests/server-live-prepared-point-read-proof.tsv,rust/scripts/run-campaign27-prepared-point-read-sql-node.sh	Transfer remains PARTIAL: the proof is real-TiKV only; non-TiKV starter behavior remains open.
server-live-ordered-join-proof	server-live-prepared-point-read-proof	-	tests/realtikvtest/pushdowntest/index_lookup_pushdown_test.go	156	TestRealTiKVIndexLookUpPushDown	rust/difftests/corpus/coverage/evidence/tests/server-live-ordered-join-proof.tsv	rust/difftests/corpus/coverage/evidence/tests/server-live-prepared-point-read-proof.tsv,rust/scripts/run-campaign27-prepared-point-read-sql-node.sh	Transfer remains PARTIAL: ten exact prepared clustered-key reads reach real TiKV; index lookup pushdown parity remains open.
server-live-ordered-join-proof	server-live-prepared-point-read-proof	-	tests/realtikvtest/pushdowntest/index_lookup_pushdown_test.go	210	TestCorrelatedIndexLookUpPushDownPreservesParentIdx	rust/difftests/corpus/coverage/evidence/tests/server-live-ordered-join-proof.tsv	rust/difftests/corpus/coverage/evidence/tests/server-live-prepared-point-read-proof.tsv,rust/scripts/run-campaign27-prepared-point-read-sql-node.sh	Transfer remains PARTIAL: correlated index lookup and parent-index preservation remain open.
server-live-ordered-join-proof	server-live-prepared-point-read-proof	-	tests/realtikvtest/pushdowntest/index_lookup_pushdown_test.go	240	TestRealTiKVCommonHandleIndexLookUpPushDown	rust/difftests/corpus/coverage/evidence/tests/server-live-ordered-join-proof.tsv	rust/difftests/corpus/coverage/evidence/tests/server-live-prepared-point-read-proof.tsv,rust/scripts/run-campaign27-prepared-point-read-sql-node.sh	Transfer remains PARTIAL: one signed-BIGINT clustered handle is proved; common handles remain open.
server-live-ordered-join-proof	server-live-prepared-point-read-proof	-	tests/realtikvtest/pushdowntest/index_lookup_pushdown_test.go	352	TestRealTiKVPartitionIndexLookUpPushDown	rust/difftests/corpus/coverage/evidence/tests/server-live-ordered-join-proof.tsv	rust/difftests/corpus/coverage/evidence/tests/server-live-prepared-point-read-proof.tsv,rust/scripts/run-campaign27-prepared-point-read-sql-node.sh	Transfer remains PARTIAL: partitioned index lookup pushdown remains open.
