# Go source: pkg/meta/meta.go
# SHA-256: d0e948b97582b9f1e43ed98f6e3c2664ab71a0051161b5152768c439b0129083
# bytes: 68013
# lines: 2219
# Test/support: pkg/meta/meta_test.go, pkg/meta/main_test.go, pkg/meta/BUILD.bazel
# Columns: class source_identity source_line verdict rust_symbol evidence
class	source_identity	source_line	verdict	rust_symbol	evidence
PRODUCTION_DECLARATION	var:mRequestUnitStats	109	PORTED	key::REQUEST_UNIT_STATS	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_DECLARATION	var:mIngestMaxBatchSplitRangesKey	111	PORTED	key::INGEST_MAX_BATCH_SPLIT_RANGES	transaction_source::malformed_scalar_storage_returns_the_source_parse_error_class
PRODUCTION_DECLARATION	var:mIngestMaxSplitRangesPerSecKey	112	PORTED	key::INGEST_MAX_SPLIT_RANGES_PER_SEC	transaction_source::malformed_scalar_storage_returns_the_source_parse_error_class
PRODUCTION_DECLARATION	var:mIngestMaxInflightKey	113	PORTED	key::INGEST_MAX_INFLIGHT	transaction_source::malformed_scalar_storage_returns_the_source_parse_error_class
PRODUCTION_DECLARATION	var:mIngestMaxPerSecKey	114	PORTED	key::INGEST_MAX_PER_SEC	transaction_source::malformed_scalar_storage_returns_the_source_parse_error_class
PRODUCTION_DECLARATION	var:mDXFScheduleTuneKey	115	PORTED	key::DXF_SCHEDULE_TUNE	transaction_source::dxf_and_ru_stats_match_go_json_shapes_including_null
PRODUCTION_DECLARATION	var:defaultGroupID	119	PORTED	transaction::DEFAULT_RESOURCE_GROUP_ID	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_DECLARATION	var:defaultRGroupMeta	121	PORTED	transaction::default_resource_group_for_test	transaction_source::policies_masking_policies_and_resource_groups_preserve_source_lifecycle
PRODUCTION_DECLARATION	const:CurrentMagicByteVer	135	PORTED	value::CURRENT_MAGIC_BYTE_VER	transaction_source::policy_masking_and_resource_reads_preserve_magic_json_and_empty_panics
PRODUCTION_DECLARATION	const:typeUnknown	143	PORTED	value::MagicType::Unknown	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_DECLARATION	const:typeJSON	144	PORTED	value::MagicType::Json	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_DECLARATION	var:ErrDBExists	150	PORTED	error::MetaError::DatabaseExists	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_DECLARATION	var:ErrDBNotExists	152	PORTED	error::MetaError::DatabaseNotExists	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_DECLARATION	var:ErrPolicyExists	154	PORTED	error::MetaError::PolicyExists	transaction_source::policy_masking_and_resource_reads_preserve_magic_json_and_empty_panics
PRODUCTION_DECLARATION	var:ErrPolicyNotExists	156	PORTED	error::MetaError::PolicyIdNotExists	transaction_source::policy_masking_and_resource_reads_preserve_magic_json_and_empty_panics
PRODUCTION_DECLARATION	var:ErrMaskingPolicyExists	158	PORTED	error::MetaError::MaskingPolicyIdExists	transaction_source::policy_masking_and_resource_reads_preserve_magic_json_and_empty_panics
PRODUCTION_DECLARATION	var:ErrMaskingPolicyNotExists	160	PORTED	error::MetaError::MaskingPolicyIdNotExists	transaction_source::policy_masking_and_resource_reads_preserve_magic_json_and_empty_panics
PRODUCTION_DECLARATION	var:ErrMaskingPolicyExprInvalidColumn	162	PORTED	error::MetaError::MaskingPolicyExpressionInvalidColumn	transaction_source::policy_masking_and_resource_reads_preserve_magic_json_and_empty_panics
PRODUCTION_DECLARATION	var:ErrResourceGroupExists	164	PORTED	error::MetaError::ResourceGroupExists	transaction_source::policy_masking_and_resource_reads_preserve_magic_json_and_empty_panics
PRODUCTION_DECLARATION	var:ErrResourceGroupNotExists	166	PORTED	error::MetaError::ResourceGroupIdNotExists	transaction_source::policy_masking_and_resource_reads_preserve_magic_json_and_empty_panics
PRODUCTION_DECLARATION	var:ErrTableExists	168	PORTED	error::MetaError::TableExists	transaction_source::catalog_fast_paths_cover_metas_names_attributes_cancellation_and_corruption
PRODUCTION_DECLARATION	var:ErrTableNotExists	170	PORTED	error::MetaError::TableNotExists	transaction_source::catalog_fast_paths_cover_metas_names_attributes_cancellation_and_corruption
PRODUCTION_DECLARATION	var:ErrDDLReorgElementNotExist	172	PORTED	error::MetaError::DdlReorgElementNotExist	key_prefix_and_element_source::element_round_trips_and_reports_gos_two_failures
PRODUCTION_DECLARATION	var:ErrInvalidString	174	PORTED	error::MetaError::InvalidFieldPrefix	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_DECLARATION	type:NextGenBootTableVersion	181	PORTED	transaction::NextGenBootTableVersion	transaction_source::catalog_fast_paths_cover_metas_names_attributes_cancellation_and_corruption
PRODUCTION_DECLARATION	const:InitNextGenBootTableVersion	185	PORTED	transaction::NextGenBootTableVersion::INIT	transaction_source::catalog_fast_paths_cover_metas_names_attributes_cancellation_and_corruption
PRODUCTION_DECLARATION	const:BaseNextGenBootTableVersion	189	PORTED	transaction::NextGenBootTableVersion::BASE	transaction_source::catalog_fast_paths_cover_metas_names_attributes_cancellation_and_corruption
PRODUCTION_DECLARATION	const:MaskingPolicyNextGenBootTableVersion	191	PORTED	transaction::NextGenBootTableVersion::MASKING_POLICY	transaction_source::policy_masking_and_resource_reads_preserve_magic_json_and_empty_panics
PRODUCTION_DECLARATION	type:DDLTableVersion	195	PORTED	transaction::DdlTableVersion	transaction_source::catalog_fast_paths_cover_metas_names_attributes_cancellation_and_corruption
PRODUCTION_DECLARATION	const:InitDDLTableVersion	199	PORTED	transaction::DdlTableVersion::INIT	transaction_source::catalog_fast_paths_cover_metas_names_attributes_cancellation_and_corruption
PRODUCTION_DECLARATION	const:BaseDDLTableVersion	201	PORTED	transaction::DdlTableVersion::BASE	transaction_source::catalog_fast_paths_cover_metas_names_attributes_cancellation_and_corruption
PRODUCTION_DECLARATION	const:MDLTableVersion	203	PORTED	transaction::DdlTableVersion::MDL	transaction_source::catalog_fast_paths_cover_metas_names_attributes_cancellation_and_corruption
PRODUCTION_DECLARATION	const:BackfillTableVersion	205	PORTED	transaction::DdlTableVersion::BACKFILL	transaction_source::catalog_fast_paths_cover_metas_names_attributes_cancellation_and_corruption
PRODUCTION_DECLARATION	const:DDLNotifierTableVersion	207	PORTED	transaction::DdlTableVersion::DDL_NOTIFIER	transaction_source::catalog_fast_paths_cover_metas_names_attributes_cancellation_and_corruption
PRODUCTION_FUNCTION	encodeIntVal	210	PORTED	value::encode_int_value	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_DECLARATION	type:Option	215	PORTED	transaction::MutatorOption	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_DECLARATION	type:Mutator	218	PORTED	transaction::Mutator	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_DECLARATION	var:_	223	PORTED	transaction::RawTransaction	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_FUNCTION	NewMutator	227	PORTED	transaction::Mutator::new_with_options	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_BRANCH	NewMutator:L234:range:enter	234	PORTED	transaction::Mutator::new_with_options	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_BRANCH	NewMutator:L234:range:exit	234	PORTED	transaction::Mutator::new_with_options	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_FUNCTION	(*Mutator).GenGlobalID	241	PORTED	transaction::Mutator::gen_global_id	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_BRANCH	(*Mutator).GenGlobalID:L246:if:true	246	PORTED	transaction::Mutator::gen_global_id	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_BRANCH	(*Mutator).GenGlobalID:L246:if:false	246	PORTED	transaction::Mutator::gen_global_id	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_BRANCH	(*Mutator).GenGlobalID:L249:if:true	249	PORTED	transaction::Mutator::gen_global_id	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_BRANCH	(*Mutator).GenGlobalID:L249:if:false	249	PORTED	transaction::Mutator::gen_global_id	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_FUNCTION	(*Mutator).AdvanceGlobalIDs	257	PORTED	transaction::Mutator::advance_global_ids	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_BRANCH	(*Mutator).AdvanceGlobalIDs:L262:if:true	262	PORTED	transaction::Mutator::advance_global_ids	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_BRANCH	(*Mutator).AdvanceGlobalIDs:L262:if:false	262	PORTED	transaction::Mutator::advance_global_ids	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_BRANCH	(*Mutator).AdvanceGlobalIDs:L265:if:true	265	PORTED	transaction::Mutator::advance_global_ids	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_BRANCH	(*Mutator).AdvanceGlobalIDs:L265:if:false	265	PORTED	transaction::Mutator::advance_global_ids	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_FUNCTION	(*Mutator).GenGlobalIDs	273	PORTED	transaction::Mutator::gen_global_ids	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_BRANCH	(*Mutator).GenGlobalIDs:L278:if:true	278	PORTED	transaction::Mutator::gen_global_ids	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_BRANCH	(*Mutator).GenGlobalIDs:L278:if:false	278	PORTED	transaction::Mutator::gen_global_ids	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_BRANCH	(*Mutator).GenGlobalIDs:L281:if:true	281	PORTED	transaction::Mutator::gen_global_ids	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_BRANCH	(*Mutator).GenGlobalIDs:L281:if:false	281	PORTED	transaction::Mutator::gen_global_ids	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_BRANCH	(*Mutator).GenGlobalIDs:L286:for:enter	286	PORTED	transaction::Mutator::gen_global_ids	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_BRANCH	(*Mutator).GenGlobalIDs:L286:for:exit	286	PORTED	transaction::Mutator::gen_global_ids	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_FUNCTION	(*Mutator).GlobalIDKey	293	PORTED	transaction::Mutator::global_id_key	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_FUNCTION	(*Mutator).GenPlacementPolicyID	298	PORTED	transaction::Mutator::gen_placement_policy_id	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_FUNCTION	(*Mutator).GenMaskingPolicyID	306	PORTED	transaction::Mutator::gen_masking_policy_id	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_FUNCTION	(*Mutator).GetGlobalID	314	PORTED	transaction::Mutator::global_id	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_FUNCTION	(*Mutator).GetPolicyID	319	PORTED	transaction::Mutator::policy_id	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_FUNCTION	(*Mutator).GetMaskingPolicyID	324	PORTED	transaction::Mutator::masking_policy_id	transaction_source::global_id_zero_limit_error_and_signed_wrap_match_go_mutation_order
PRODUCTION_FUNCTION	(*Mutator).policyKey	328	PORTED	transaction::Mutator::create_policy	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_FUNCTION	(*Mutator).maskingPolicyKey	332	PORTED	transaction::Mutator::create_masking_policy	transaction_source::policy_masking_and_resource_reads_preserve_magic_json_and_empty_panics
PRODUCTION_FUNCTION	(*Mutator).resourceGroupKey	336	PORTED	transaction::Mutator::add_resource_group	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_FUNCTION	(*Mutator).dbKey	340	PORTED	transaction::Mutator::create_database	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_FUNCTION	DBkey	345	PORTED	key::db_key	key_prefix_and_element_source::every_prefixed_field_round_trips_and_rejects_its_neighbours
PRODUCTION_FUNCTION	ParseDBKey	350	PORTED	key::parse_db_key	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_BRANCH	ParseDBKey:L351:if:true	351	PORTED	key::parse_db_key	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_BRANCH	ParseDBKey:L351:if:false	351	PORTED	key::parse_db_key	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_FUNCTION	IsDBkey	361	PORTED	key::is_db_key	key_prefix_and_element_source::every_prefixed_field_round_trips_and_rejects_its_neighbours
PRODUCTION_FUNCTION	(*Mutator).autoTableIDKey	365	PORTED	transaction::Mutator::auto_table_id_key_value	transaction_source::catalog_fast_paths_cover_metas_names_attributes_cancellation_and_corruption
PRODUCTION_FUNCTION	AutoTableIDKey	370	PORTED	key::auto_table_id_key	key_prefix_and_element_source::every_prefixed_field_round_trips_and_rejects_its_neighbours
PRODUCTION_FUNCTION	IsAutoTableIDKey	375	PORTED	key::is_auto_table_id_key	key_prefix_and_element_source::every_prefixed_field_round_trips_and_rejects_its_neighbours
PRODUCTION_FUNCTION	ParseAutoTableIDKey	380	PORTED	key::parse_auto_table_id_key	key_prefix_and_element_source::every_prefixed_field_round_trips_and_rejects_its_neighbours
PRODUCTION_BRANCH	ParseAutoTableIDKey:L381:if:true	381	PORTED	key::parse_auto_table_id_key	key_prefix_and_element_source::every_prefixed_field_round_trips_and_rejects_its_neighbours
PRODUCTION_BRANCH	ParseAutoTableIDKey:L381:if:false	381	PORTED	key::parse_auto_table_id_key	key_prefix_and_element_source::every_prefixed_field_round_trips_and_rejects_its_neighbours
PRODUCTION_FUNCTION	(*Mutator).autoIncrementIDKey	390	PORTED	transaction::Mutator::auto_ids	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_FUNCTION	AutoIncrementIDKey	395	PORTED	key::auto_increment_id_key	key_prefix_and_element_source::every_prefixed_field_round_trips_and_rejects_its_neighbours
PRODUCTION_FUNCTION	IsAutoIncrementIDKey	400	PORTED	key::is_auto_increment_id_key	key_prefix_and_element_source::every_prefixed_field_round_trips_and_rejects_its_neighbours
PRODUCTION_FUNCTION	ParseAutoIncrementIDKey	405	PORTED	key::parse_auto_increment_id_key	key_prefix_and_element_source::every_prefixed_field_round_trips_and_rejects_its_neighbours
PRODUCTION_BRANCH	ParseAutoIncrementIDKey:L406:if:true	406	PORTED	key::parse_auto_increment_id_key	key_prefix_and_element_source::every_prefixed_field_round_trips_and_rejects_its_neighbours
PRODUCTION_BRANCH	ParseAutoIncrementIDKey:L406:if:false	406	PORTED	key::parse_auto_increment_id_key	key_prefix_and_element_source::every_prefixed_field_round_trips_and_rejects_its_neighbours
PRODUCTION_FUNCTION	(*Mutator).autoRandomTableIDKey	415	PORTED	transaction::Mutator::auto_ids	transaction_source::catalog_fast_paths_cover_metas_names_attributes_cancellation_and_corruption
PRODUCTION_FUNCTION	AutoRandomTableIDKey	420	PORTED	key::auto_random_table_id_key	key_prefix_and_element_source::every_prefixed_field_round_trips_and_rejects_its_neighbours
PRODUCTION_FUNCTION	IsAutoRandomTableIDKey	425	PORTED	key::is_auto_random_table_id_key	key_prefix_and_element_source::every_prefixed_field_round_trips_and_rejects_its_neighbours
PRODUCTION_FUNCTION	ParseAutoRandomTableIDKey	430	PORTED	key::parse_auto_random_table_id_key	key_prefix_and_element_source::every_prefixed_field_round_trips_and_rejects_its_neighbours
PRODUCTION_BRANCH	ParseAutoRandomTableIDKey:L431:if:true	431	PORTED	key::parse_auto_random_table_id_key	key_prefix_and_element_source::every_prefixed_field_round_trips_and_rejects_its_neighbours
PRODUCTION_BRANCH	ParseAutoRandomTableIDKey:L431:if:false	431	PORTED	key::parse_auto_random_table_id_key	key_prefix_and_element_source::every_prefixed_field_round_trips_and_rejects_its_neighbours
PRODUCTION_FUNCTION	(*Mutator).tableKey	440	PORTED	transaction::Mutator::create_table_or_view	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_FUNCTION	TableKey	445	PORTED	key::table_key	key_prefix_and_element_source::every_prefixed_field_round_trips_and_rejects_its_neighbours
PRODUCTION_FUNCTION	IsTableKey	450	PORTED	key::is_table_key	key_prefix_and_element_source::every_prefixed_field_round_trips_and_rejects_its_neighbours
PRODUCTION_FUNCTION	ParseTableKey	455	PORTED	key::parse_table_key	key_prefix_and_element_source::every_prefixed_field_round_trips_and_rejects_its_neighbours
PRODUCTION_BRANCH	ParseTableKey:L456:if:true	456	PORTED	key::parse_table_key	key_prefix_and_element_source::every_prefixed_field_round_trips_and_rejects_its_neighbours
PRODUCTION_BRANCH	ParseTableKey:L456:if:false	456	PORTED	key::parse_table_key	key_prefix_and_element_source::every_prefixed_field_round_trips_and_rejects_its_neighbours
PRODUCTION_FUNCTION	(*Mutator).sequenceKey	465	PORTED	transaction::Mutator::create_sequence_and_set_value	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_FUNCTION	SequenceKey	470	PORTED	key::sequence_key	key_prefix_and_element_source::every_prefixed_field_round_trips_and_rejects_its_neighbours
PRODUCTION_FUNCTION	IsSequenceKey	475	PORTED	key::is_sequence_key	key_prefix_and_element_source::every_prefixed_field_round_trips_and_rejects_its_neighbours
PRODUCTION_FUNCTION	ParseSequenceKey	480	PORTED	key::parse_sequence_key	key_prefix_and_element_source::every_prefixed_field_round_trips_and_rejects_its_neighbours
PRODUCTION_BRANCH	ParseSequenceKey:L481:if:true	481	PORTED	key::parse_sequence_key	key_prefix_and_element_source::every_prefixed_field_round_trips_and_rejects_its_neighbours
PRODUCTION_BRANCH	ParseSequenceKey:L481:if:false	481	PORTED	key::parse_sequence_key	key_prefix_and_element_source::every_prefixed_field_round_trips_and_rejects_its_neighbours
PRODUCTION_FUNCTION	(*Mutator).sequenceCycleKey	490	PORTED	transaction::Mutator::auto_ids	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_FUNCTION	DDLJobHistoryKey	495	PORTED	transaction::Mutator::ddl_job_history_key	transaction_source::ddl_history_preserves_constructor_and_both_next_error_boundaries
PRODUCTION_FUNCTION	(*Mutator).GenAutoTableIDKeyValue	500	PORTED	transaction::Mutator::auto_table_id_key_value	key_prefix_and_element_source::every_prefixed_field_round_trips_and_rejects_its_neighbours
PRODUCTION_FUNCTION	(*Mutator).GetAutoIDAccessors	507	PORTED	transaction::Mutator::auto_ids	transaction_source::composed_auto_id_sequence_and_schema_diff_methods_preserve_source_order
PRODUCTION_FUNCTION	(*Mutator).GetSchemaVersionWithNonEmptyDiff	527	PORTED	transaction::Mutator::schema_version_with_non_empty_diff	transaction_source::bootstrap_schema_diff_and_raw_bdr_role_round_trip
PRODUCTION_BRANCH	(*Mutator).GetSchemaVersionWithNonEmptyDiff:L529:if:true	529	PORTED	transaction::Mutator::schema_version_with_non_empty_diff	transaction_source::bootstrap_schema_diff_and_raw_bdr_role_round_trip
PRODUCTION_BRANCH	(*Mutator).GetSchemaVersionWithNonEmptyDiff:L529:if:false	529	PORTED	transaction::Mutator::schema_version_with_non_empty_diff	transaction_source::bootstrap_schema_diff_and_raw_bdr_role_round_trip
PRODUCTION_BRANCH	(*Mutator).GetSchemaVersionWithNonEmptyDiff:L533:if:true	533	PORTED	transaction::Mutator::schema_version_with_non_empty_diff	transaction_source::bootstrap_schema_diff_and_raw_bdr_role_round_trip
PRODUCTION_BRANCH	(*Mutator).GetSchemaVersionWithNonEmptyDiff:L533:if:false	533	PORTED	transaction::Mutator::schema_version_with_non_empty_diff	transaction_source::bootstrap_schema_diff_and_raw_bdr_role_round_trip
PRODUCTION_BRANCH	(*Mutator).GetSchemaVersionWithNonEmptyDiff:L537:if:true	537	PORTED	transaction::Mutator::schema_version_with_non_empty_diff	transaction_source::bootstrap_schema_diff_and_raw_bdr_role_round_trip
PRODUCTION_BRANCH	(*Mutator).GetSchemaVersionWithNonEmptyDiff:L537:if:false	537	PORTED	transaction::Mutator::schema_version_with_non_empty_diff	transaction_source::bootstrap_schema_diff_and_raw_bdr_role_round_trip
PRODUCTION_BRANCH	(*Mutator).GetSchemaVersionWithNonEmptyDiff:L537:logical:short-circuit	537	PORTED	transaction::Mutator::schema_version_with_non_empty_diff	transaction_source::bootstrap_schema_diff_and_raw_bdr_role_round_trip
PRODUCTION_BRANCH	(*Mutator).GetSchemaVersionWithNonEmptyDiff:L537:logical:rhs	537	PORTED	transaction::Mutator::schema_version_with_non_empty_diff	transaction_source::bootstrap_schema_diff_and_raw_bdr_role_round_trip
PRODUCTION_FUNCTION	(*Mutator).EncodeSchemaDiffKey	545	PORTED	transaction::Mutator::encoded_schema_diff_key	transaction_source::bootstrap_schema_diff_and_raw_bdr_role_round_trip
PRODUCTION_FUNCTION	(*Mutator).GetSchemaVersion	551	PORTED	transaction::Mutator::schema_version	transaction_source::bootstrap_schema_diff_and_raw_bdr_role_round_trip
PRODUCTION_FUNCTION	(*Mutator).GenSchemaVersion	556	PORTED	transaction::Mutator::gen_schema_version	transaction_source::bootstrap_schema_diff_and_raw_bdr_role_round_trip
